ID,Food name,無単位,枚,本,個片丁株玉房,杯/カップ,半分,摘み/少々,小/小匙,中,大/大匙,一掴,袋,箱,缶/カン,CC,cm,束,合,適量、お好み,g
1206,こむぎ　［パン類］　食パン　リーンタイプ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1207,こむぎ　［パン類］　食パン　リッチタイプ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1205,こむぎ　［パン類］　山形食パン　食パン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1028,こむぎ　［パン類］　コッペパン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1213,こむぎ　［パン類］　バンズ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1030,こむぎ　［パン類］　乾パン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1031,こむぎ　［パン類］　フランスパン,-1,-1,350,350,-1,-1,-1,-1,-1,-1,-1,380,-1,-1,-1,-1,-1,-1,-1,1
1032,こむぎ　［パン類］　ライ麦パン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1208,こむぎ　［パン類］　全粒粉パン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1033,こむぎ　［パン類］　ぶどうパン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1034,こむぎ　［パン類］　ロールパン,-1,-1,-1,30,-1,15,-1,-1,-1,-1,-1,230,-1,-1,-1,-1,-1,-1,-1,1
1209,こむぎ　［パン類］　クロワッサン　レギュラータイプ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1035,こむぎ　［パン類］　クロワッサン　リッチタイプ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1210,こむぎ　［パン類］　くるみパン,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1036,こむぎ　［パン類］　イングリッシュマフィン,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1037,こむぎ　［パン類］　ナン,-1,28.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1148,こむぎ　［パン類］　ベーグル,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1038,こむぎ　［うどん・そうめん類］　うどん　生,-1,-1,-1,150,-1,-1,30,-1,-1,-1,-1,200,-1,-1,-1,-1,100,-1,-1,1
1039,こむぎ　［うどん・そうめん類］　うどん　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1186,こむぎ　［うどん・そうめん類］　うどん　半生うどん,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1041,こむぎ　［うどん・そうめん類］　干しうどん　乾,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1047,こむぎ　［中華めん類］　中華めん　生,-1,-1,-1,140,-1,70,-1,-1,-1,-1,-1,140,-1,-1,-1,-1,-1,-1,-1,1
1048,こむぎ　［中華めん類］　中華めん　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1187,こむぎ　［中華めん類］　半生中華めん　,-1,-1,-1,100,-1,50,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,1
1049,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,1
1188,こむぎ　［中華めん類］　蒸し中華めん  ソテー,-1,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,-1,-1,-1,1
1050,こむぎ　［中華めん類］　干し中華めん　乾,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1051,こむぎ　［中華めん類］　干し中華めん　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1052,こむぎ　［中華めん類］　沖縄そば　生,-1,-1,-1,140,-1,70,-1,-1,-1,-1,-1,140,-1,-1,-1,-1,-1,-1,-1,1
1053,こむぎ　［中華めん類］　沖縄そば　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1054,こむぎ　［中華めん類］　干し沖縄そば　乾,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1055,こむぎ　［中華めん類］　干し沖縄そば　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1056,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,1
1057,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1198,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1189,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1144,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1058,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
